timestamp,cycle_id,local_now,scheduled_due_time,decision,reason,c7_invoked,c7_return_code,sent_rows_before,sent_rows_after,send_delta,lock_acquired,active_workflow,active_pipeline,safety_notes
2026-07-18T15:17:42-04:00,2026-W29,2026-07-18T15:17:42-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T15:32:43-04:00,2026-W29,2026-07-18T15:32:43-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T15:47:43-04:00,2026-W29,2026-07-18T15:47:43-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T16:02:44-04:00,2026-W29,2026-07-18T16:02:44-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T16:17:47-04:00,2026-W29,2026-07-18T16:17:47-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T16:32:54-04:00,2026-W29,2026-07-18T16:32:54-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T16:47:55-04:00,2026-W29,2026-07-18T16:47:55-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T17:02:56-04:00,2026-W29,2026-07-18T17:02:56-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T17:10:10-04:00,2026-W29,2026-07-18T17:10:10-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T17:10:18-04:00,2026-W29,2026-07-18T17:10:18-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T17:17:56-04:00,2026-W29,2026-07-18T17:17:56-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T17:32:57-04:00,2026-W29,2026-07-18T17:32:57-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T17:47:57-04:00,2026-W29,2026-07-18T17:47:57-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T18:05:44-04:00,2026-W29,2026-07-18T18:05:44-04:00,2026-07-16T09:05:00-04:00,catchup_failed,prior_c7_attempt_without_success_requires_manual_review,no,,2,2,0,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
